Pais,Anio,NETW,PIB,Pasivos
"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",2021,,10803476.0,
"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",2022,,11194681.2,
"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",2023,,11302135.8,
"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",2024,,11403065.0,
Euro area - 12 countries (2001-2006),2018,,10391986.8,
Euro area - 12 countries (2001-2006),2019,,10555737.1,
Euro area - 12 countries (2001-2006),2020,,9912169.8,
Euro area - 12 countries (2001-2006),2021,,10541878.0,
Euro area - 12 countries (2001-2006),2022,,10928224.1,
Euro area - 12 countries (2001-2006),2023,,10971944.2,
Euro area - 12 countries (2001-2006),2024,,11064346.1,
Euro area - 19 countries  (2015-2022),2018,-7347316.775,10633630.5,12601392.125
Euro area - 19 countries  (2015-2022),2019,-7598511.9,10805308.3,13141130.0
Euro area - 19 countries  (2015-2022),2020,-8210063.5,10155521.7,14209311.375
Euro area - 19 countries  (2015-2022),2021,-8644706.55,10803476.0,14991084.375
Euro area - 19 countries  (2015-2022),2022,-7968447.075,11194681.2,14193800.125
Euro area - 19 countries  (2015-2022),2023,-8045610.6,11243065.9,14221801.375
Euro area - 19 countries  (2015-2022),2024,-8430717.375,11341676.7,14899872.5
Euro area - 19 countries  (2015-2022),2025,-8534363.100000001,,15317453.5
Euro area – 20 countries (from 2023),2018,-7368293.175,10683756.9,12659523.875
Euro area – 20 countries (from 2023),2019,-7618669.825,10856961.2,13201138.125
Euro area – 20 countries (from 2023),2020,-8232403.45,10202922.8,14272386.25
Euro area – 20 countries (from 2023),2021,-8669579.9,10856686.5,15058741.875
Euro area – 20 countries (from 2023),2022,-7993109.525,11251663.9,14263762.0
Euro area – 20 countries (from 2023),2023,-8071230.75,11302135.8,14296520.375
Euro area – 20 countries (from 2023),2024,-8456829.325,11403065.0,14976302.625
Euro area – 20 countries (from 2023),2025,-8562491.25,,15395459.75
European Union - 27 countries (from 2020),2018,-7584716.35,12417211.6,13801801.25
European Union - 27 countries (from 2020),2019,-7821431.025,12650098.0,14382502.125
European Union - 27 countries (from 2020),2020,-8469512.0,11946518.7,15573672.75
European Union - 27 countries (from 2020),2021,-8888679.85,12705292.9,16469585.375
European Union - 27 countries (from 2020),2022,-8141622.75,13155700.7,15607858.625
European Union - 27 countries (from 2020),2023,-8310745.675000001,13213544.4,15764758.625
European Union - 27 countries (from 2020),2024,-8788324.275,13353133.7,16638002.625
European Union - 27 countries (from 2020),2025,-8938255.600000001,,17195251.0
Finland,2018,137538.0,201395.4,183156.0
Finland,2019,143479.25,204113.7,194254.25
Finland,2020,135443.5,199029.2,213189.875
Finland,2021,173123.5,204355.9,220285.375
Finland,2022,164272.75,205915.2,217262.75
Finland,2023,158815.5,203981.5,229820.5
Finland,2024,159617.25,204830.4,243894.875
Finland,2025,157337.0,,259787.25
France,2018,-1777622.75,2205470.1,3075633.625
France,2019,-1851416.25,2250184.8,3192048.25
France,2020,-1990766.5,2082756.5,3463292.875
France,2021,-2053531.0,2226098.8,3633548.5
France,2022,-1947660.25,2286576.7,3446369.125
France,2023,-1974534.75,2319485.4,3398644.625
France,2024,-2094003.75,2347098.1,3583464.5
France,2025,-2156695.0,,3696852.0
Germany,2018,-1077661.5,3021545.2,2393190.0
Germany,2019,-1055263.25,3051087.9,2469952.25
Germany,2020,-1171362.75,2925019.6,2763866.25
Germany,2021,-1252186.25,3039387.8,2906819.5
Germany,2022,-1072042.5,3094378.2,2736578.0
Germany,2023,-1046718.25,3067468.0,2691908.0
Germany,2024,-1046503.0,3052257.9,2772038.75
Germany,2025,-995172.5,,2804391.75
Greece,2018,-261527.0,187954.7,374731.9375
Greece,2019,-269812.9,192234.8,394319.7625
Greece,2020,-288525.775,174556.4,412892.525
Greece,2021,-308100.375,189663.4,437772.9125
Greece,2022,-289992.45,200136.6,430750.725
Greece,2023,-290807.575,204411.3,436368.0125
Greece,2024,-289872.3,208676.5,440274.25
Greece,2025,-280032.25,,439713.2
Hungary,2018,-74799.825,124441.6,119542.0375
Hungary,2019,-79434.25,130759.7,125714.5625
Hungary,2020,-76904.29999999999,125086.4,124535.35
Hungary,2021,-84597.4,134121.3,141302.4
Hungary,2022,-73147.4,139690.5,130467.5375
Hungary,2023,-92062.2,138549.1,156977.275
Hungary,2024,-104551.225,139325.1,171027.1875
Hungary,2025,-111049.1,,177897.475
Iceland,2018,,13590.4,
Iceland,2019,,13745.0,
Iceland,2020,,12831.6,
Iceland,2021,,13496.3,
Iceland,2022,,14686.8,
Iceland,2023,,15448.5,
Iceland,2024,,15298.5,
Ireland,2018,-161381.975,283010.1,256642.9125
Ireland,2019,-162506.3,297083.9,264534.025
Ireland,2020,-174716.84999999998,318336.3,277982.175
Ireland,2021,-177995.575,370092.1,288650.075
Ireland,2022,-144521.675,397890.2,261176.8375
Ireland,2023,-124757.15,387798.2,243261.7125
Ireland,2024,-111325.475,397878.9,235648.2625
Ireland,2025,-96021.75,,219049.675
Italy,2018,-2141914.0,1621288.1,2659695.25
Italy,2019,-2259449.75,1628246.1,2798809.625
Italy,2020,-2418036.75,1483849.6,2974368.625
Italy,2021,-2585367.75,1616373.2,3187795.0
Italy,2022,-2427169.75,1694301.4,3027614.625
Italy,2023,-2505864.25,1710832.6,3096549.5
Italy,2024,-2676890.0,1722683.1,3279643.5
Italy,2025,-2755705.5,,3393003.0
Kosovo*,2018,,5752.1,
Kosovo*,2019,,6025.7,
Kosovo*,2020,,5703.9,
Kosovo*,2021,,6316.9,
Kosovo*,2022,,6587.2,
Kosovo*,2023,,6855.2,
Kosovo*,2024,,7168.7,
Latvia,2018,-2726.25,23246.8,15255.125
Latvia,2019,-3121.15,23403.8,16774.1625
Latvia,2020,-4549.65,22591.9,19081.05
Latvia,2021,-6380.425,24160.3,21371.65
Latvia,2022,-6318.725,24621.4,22575.425
Latvia,2023,-6559.075,24389.6,24243.6
Latvia,2024,-6874.125,24378.3,26843.375
Latvia,2025,-7059.45,,27974.1
Lithuania,2018,-6214.675,38414.4,18832.3125
Lithuania,2019,-6384.0,40211.2,21235.7375
Lithuania,2020,-8066.125,40228.4,25241.65
Lithuania,2021,-9782.15,42801.0,28381.1625
Lithuania,2022,-6223.9,43856.1,25942.75
Lithuania,2023,-5800.325000000001,44180.5,27903.8375
Lithuania,2024,-6653.275,45519.2,31483.4875
Lithuania,2025,-7078.65,,34928.125
Luxembourg,2018,30196.3,50967.1,17293.3
Luxembourg,2019,33376.2,52368.4,18258.3625
Luxembourg,2020,32119.45,52101.3,20591.975
Luxembourg,2021,36819.7,55711.7,22953.425
Luxembourg,2022,38448.525,55100.3,22451.6375
Luxembourg,2023,39152.425,55155.1,24650.2875
Luxembourg,2024,42304.25,55352.9,25843.3625
Luxembourg,2025,43166.95,,25910.55
Malta,2018,-3720.15,11402.7,7916.55
Malta,2019,-3817.9,11868.5,8380.3125
Malta,2020,-4598.75,11458.2,9319.525
Malta,2021,-5554.025,12994.9,10943.3875
Malta,2022,-5466.525,13317.6,10808.1125
Malta,2023,-5895.55,14732.1,11773.3375
Malta,2024,-6739.2,15733.9,13254.825
Malta,2025,-7382.45,,14138.9
Montenegro,2018,,3817.9,
Montenegro,2019,,3985.7,
Montenegro,2020,,3388.1,
Montenegro,2021,,3830.1,
Montenegro,2022,,4126.6,
Montenegro,2023,,4393.9,
Montenegro,2024,,4532.9,
Netherlands,2018,-267161.75,723669.6,569485.625
Netherlands,2019,-254910.5,740314.6,575104.5
Netherlands,2020,-264808.75,711679.6,619599.875
Netherlands,2021,-281537.0,756350.5,640800.375
Netherlands,2022,-250114.0,794222.8,600934.5
Netherlands,2023,-238904.25,789472.6,587669.125
Netherlands,2024,-236356.25,798006.8,611197.375
Netherlands,2025,-228104.5,,624867.0
North Macedonia,2018,,8579.5,
North Macedonia,2019,,8915.0,
North Macedonia,2020,,8497.0,
North Macedonia,2021,,8880.3,
North Macedonia,2022,,9125.3,
North Macedonia,2023,,9358.4,
North Macedonia,2024,,9638.6,
Norway,2018,1041091.375,370969.0,170056.8375
Norway,2019,1144426.975,375137.7,171974.3875
Norway,2020,1103240.7,370342.8,172185.7375
Norway,2021,1364256.15,384818.4,195790.8125
Norway,2022,1423665.975,397310.4,230843.75
Norway,2023,1544913.65,397597.0,214043.7375
Norway,2024,1803756.5,405935.5,249150.2875
Norway,2025,1860944.1,,250541.4
Poland,2018,-192717.525,484989.4,341866.8125
Poland,2019,-193230.55,507204.1,355522.5375
Poland,2020,-218760.0,496879.7,399151.025
Poland,2021,-221579.175,531299.4,426252.8625
Poland,2022,-192651.875,559221.6,399273.025
Poland,2023,-238234.95,560617.5,464855.4625
Poland,2024,-309620.775,577595.3,568510.1875
Poland,2025,-346765.1,,653626.625
Portugal,2018,-210006.0,186476.3,325683.475
Portugal,2019,-214044.05,191596.4,334540.5625
Portugal,2020,-217327.25,175876.6,347242.15
Portugal,2021,-225761.425,185653.2,359430.425
Portugal,2022,-198435.075,198622.6,340687.6375
Portugal,2023,-190325.55,204779.8,341253.7
Portugal,2024,-183923.85,209161.5,341253.7375
Portugal,2025,-175753.8,,353241.45
Romania,2018,-39530.8,172596.0,93332.25
Romania,2019,-44918.5,179431.3,102557.2375
Romania,2020,-58914.6,172975.3,122114.425
Romania,2021,-73547.875,182640.1,142653.9
Romania,2022,-69984.225,190288.5,147815.7
Romania,2023,-91626.275,194584.7,182763.6375
Romania,2024,-115263.05,196367.1,223369.6125
Romania,2025,-134084.90000000002,,245353.725
Serbia,2018,,36055.9,
Serbia,2019,,37768.6,
Serbia,2020,,37409.8,
Serbia,2021,,40383.5,
Serbia,2022,,41475.3,
Serbia,2023,,43029.8,
Serbia,2024,,44729.4,
Slovakia,2018,-37810.975,85000.9,71145.6875
Slovakia,2019,-40321.425,86935.4,73943.3125
Slovakia,2020,-44255.175,84687.7,85469.65
Slovakia,2021,-48373.95,89477.5,95747.6375
Slovakia,2022,-41909.725,89964.8,92044.7
Slovakia,2023,-43393.2,91865.4,100330.975
Slovakia,2024,-50861.3,93646.4,109268.15
Slovakia,2025,-55780.25,,116202.425
Slovenia,2018,-11611.925,41583.7,40860.125
Slovenia,2019,-13192.85,43041.3,44015.925
Slovenia,2020,-17161.05,41283.0,51416.425
Slovenia,2021,-17578.725,44757.8,53458.787500000006
Slovenia,2022,-13755.975,45952.1,47357.6625
Slovenia,2023,-13374.625,47043.9,48128.2875
Slovenia,2024,-13079.05,47858.4,51300.45
Slovenia,2025,-11340.95,,54364.25
Spain,2018,-959205.75,1173863.3,1554275.75
Spain,2019,-1016761.75,1196884.8,1650858.125
Spain,2020,-1098188.5,1065944.8,1759308.5
Spain,2021,-1180341.0,1137183.4,1870117.25
Spain,2022,-1131675.25,1209625.6,1783756.75
Spain,2023,-1157588.5,1239392.8,1820307.125
Spain,2024,-1217965.25,1282216.9,1923175.625
Spain,2025,-1241420.0,,1996203.5
Sweden,2018,105613.875,437536.9,293773.0375
Sweden,2019,120025.9,448948.9,292307.0125
Sweden,2020,116502.525,440267.2,314339.55
Sweden,2021,152464.725,463274.9,338414.175
Sweden,2022,154778.9,469091.0,322630.4125
Sweden,2023,149980.6,468133.8,299211.4
Sweden,2024,165126.0,471972.8,321488.1
Sweden,2025,171910.5,,343426.45
Switzerland,2018,,525280.3,
Switzerland,2019,,531278.9,
Switzerland,2020,,519900.3,
Switzerland,2021,,548804.7,
Switzerland,2022,,565510.7,
Switzerland,2023,,569375.0,
Switzerland,2024,,576790.1,
Türkiye,2018,,948306.8,
Türkiye,2019,,960650.2,
Türkiye,2020,,977971.3,
Türkiye,2021,,1093480.4,
Türkiye,2022,,1152979.2,
Türkiye,2023,,1211148.4,
Türkiye,2024,,1251450.8,
Ukraine,2018,,98896.6,
Ukraine,2019,,102060.8,
Ukraine,2020,,98230.6,
Ukraine,2021,,101615.3,
Ukraine,2022,,72392.2,
Ukraine,2023,,76398.9,
United Kingdom,2018,,2168347.7,
United Kingdom,2019,,2198071.7,
