Country,Code,Year,Real GDP Growth Rate,PSNW
Czech Republic,CZ,2024,1.2,-40290.95
Slovakia,SK,2018,4.1,-37810.975
Slovakia,SK,2019,2.3,-40321.425
Slovakia,SK,2020,-2.6,-44255.175
Slovakia,SK,2021,5.7,-48373.95
Slovakia,SK,2022,0.5,-41909.725
Slovakia,SK,2023,2.1,-43393.2
Slovakia,SK,2024,1.9,-54742.1
Slovenia,SI,2018,4.4,-11611.925
Slovenia,SI,2019,3.5,-13192.849999999999
Slovenia,SI,2020,-4.1,-17161.05
Slovenia,SI,2021,8.4,-17578.725
Slovenia,SI,2022,2.7,-13755.975
Slovenia,SI,2023,2.4,-13374.625
Slovenia,SI,2024,1.7,-12786.2
Greece,EL,2018,2.1,-261527.0
Greece,EL,2019,2.3,-269812.9
Greece,EL,2020,-9.2,-288525.775
Greece,EL,2021,8.7,-308100.375
Greece,EL,2022,5.5,-289992.45
Greece,EL,2023,2.1,-290807.575
Greece,EL,2024,2.1,-289872.3
Bulgaria,BG,2018,2.3,-708.8
Bulgaria,BG,2019,3.8,703.925
Bulgaria,BG,2020,-3.1,696.25
Bulgaria,BG,2021,7.8,-1477.9250000000002
Bulgaria,BG,2022,4.1,-3049.325
Bulgaria,BG,2023,1.7,-4627.875
Bulgaria,BG,2024,3.4,-6549.45
Sweden,SE,2018,1.8,105613.87499999999
Sweden,SE,2019,2.6,120025.9
Sweden,SE,2020,-1.9,116502.525
Sweden,SE,2021,5.2,152464.725
Sweden,SE,2022,1.3,154778.90000000002
Sweden,SE,2023,-0.2,149980.6
Sweden,SE,2024,0.8,170369.9
Denmark,DK,2018,1.9,4582.325
Denmark,DK,2019,1.7,11632.35
Denmark,DK,2020,-1.8,27238.525
Denmark,DK,2021,6.5,41929.850000000006
Denmark,DK,2022,0.4,63205.975000000006
Denmark,DK,2023,0.6,77346.725
Denmark,DK,2024,3.5,89847.525
Norway,NO,2018,0.8,1041091.375
Norway,NO,2019,1.1,1144426.975
Norway,NO,2020,-1.3,1103240.6999999997
Norway,NO,2021,3.9,1364256.15
Norway,NO,2022,3.2,1423665.9749999999
Norway,NO,2023,0.1,1544913.65
Norway,NO,2024,2.1,1889028.6
Austria,AT,2018,2.5,-195268.175
Austria,AT,2019,1.8,-198388.15
Austria,AT,2020,-6.3,-218328.0
Austria,AT,2021,4.9,-227430.55000000002
Austria,AT,2022,5.3,-202805.325
Austria,AT,2023,-0.8,-206339.35
Austria,AT,2024,-0.7,-227430.55000000002
Luxembourg,LU,2018,1.6,30196.299999999996
Luxembourg,LU,2019,2.7,33376.2
Luxembourg,LU,2020,-0.5,32119.45
Luxembourg,LU,2021,6.9,36819.7
Luxembourg,LU,2022,-1.1,38448.525
Luxembourg,LU,2023,0.1,39152.425
Luxembourg,LU,2024,0.4,43198.0
Lithuania,LT,2018,4.9,-6214.675
Lithuania,LT,2019,4.7,-6214.675
Lithuania,LT,2020,0.0,-8066.125
Lithuania,LT,2021,6.4,-9782.15
Lithuania,LT,2022,2.5,-6223.9
Lithuania,LT,2023,0.7,-5800.325
Lithuania,LT,2024,3.0,-7438.4
Estonia,EE,2018,3.7,6007.45
Estonia,EE,2019,3.7,6014.1
Estonia,EE,2020,-2.9,4865.1
Estonia,EE,2021,8.3,3881.8999999999996
Estonia,EE,2022,-1.2,4921.1
Estonia,EE,2023,-2.7,4556.575
Estonia,EE,2024,-0.1,2817.6749999999997
Latvia,LV,2018,4.3,-2726.25
Latvia,LV,2019,0.7,-3121.1500000000005
Latvia,LV,2020,-3.5,-4549.650000000001
Latvia,LV,2021,6.9,-6380.425000000001
Latvia,LV,2022,1.9,-6318.724999999999
Latvia,LV,2023,-0.9,-6559.075000000001
Latvia,LV,2024,0.0,-7213.8
Ireland,IE,2018,7.7,-161381.975
Ireland,IE,2019,5.0,-162506.3
Ireland,IE,2020,7.2,-174716.84999999998
Ireland,IE,2021,16.3,-177995.575
Ireland,IE,2022,7.5,-144521.67500000002
Ireland,IE,2023,-2.5,-124757.15
Ireland,IE,2024,2.6,-111325.475
Belgium,BE,2018,1.9,-395204.5
Belgium,BE,2019,2.4,-421099.0
Belgium,BE,2020,-4.8,-449674.0
Belgium,BE,2021,6.3,-464503.25
Belgium,BE,2022,4.0,-427255.0
Belgium,BE,2023,1.7,-428528.75
Belgium,BE,2024,1.1,-460286.0
Netherlands,NL,2018,2.3,-267161.75
Netherlands,NL,2019,2.3,-254910.5
Netherlands,NL,2020,-3.9,-264808.75
Netherlands,NL,2021,6.3,-281537.0
Netherlands,NL,2022,5.0,-250114.0
Netherlands,NL,2023,-0.6,-238904.25
Netherlands,NL,2024,1.1,-238622.0
Finland,FI,2018,1.2,137538.0
Finland,FI,2019,1.3,143479.25
Finland,FI,2020,-2.5,135443.5
Finland,FI,2021,2.7,173123.5
Finland,FI,2022,0.8,164272.75
Finland,FI,2023,-0.9,158815.5
Finland,FI,2024,0.4,159617.25
Cyprus,CY,2018,6.3,-12021.175
Cyprus,CY,2019,5.9,-10892.25
Cyprus,CY,2020,-3.2,-12125.675000000001
Cyprus,CY,2021,11.4,-14108.25
Cyprus,CY,2022,8.3,-10743.45
Cyprus,CY,2023,3.6,-8744.0
Cyprus,CY,2024,3.9,-8420.9
